ID,Program,Degree,Concentration,Requirements
47,,"Music, B.A.",Area of Concentration,"Note: Undergraduate minor except (Not From) Music,1,- Registration in an appropriate music ensemble may be a co-requisite for registering for applied music courses. The requirement for 12 hours of applied music courses may be satisfied by taking six semesters of applied music for two hours of credit or four semesters of applied music for three hours of credit.,2,- Choose from the following:,MUS 4710,,,MUS 4712,,,MUS 4718,,,MUS 4720,,,MUS 4744,,,MUS 4746,,,MUS 4748,,,MUS 4749,,,MUS 4759,.,3,- Students are encouraged but not required to take either,PHYS 2110,and,PHYS 2112,or,PHYS 2001,and,PHYS 2002,, which can fulfill the general education natural science sequence requirement. Students should note that,PHYS 2110,requires at least concurrent enrollment in,MATH 1552,.,PHYS 2001,requires trigonometry and/or calculus as a prerequisite.,4,- Students are encouraged but not required to take,MATH 1550,to fulfill the first semester of analytical reasoning.,5,- Students are encouraged but not required to take,MATH 1552,to fulfill the second semester of analytical reasoning.,6,- Students should enroll in an AVATAR Minor Area course that also satisfies the General Education Arts course requirement (not MUS)."
48,,"Music, B.A.",Area of Concentration,"Note: Undergraduate minor except (Not From) Music,1,- Registration in an appropriate music ensemble may be a co-requisite for registering for applied music courses. The requirement for 12 hours of applied music courses may be satisfied by taking six semesters of applied music for two hours of credit or four semesters of applied music for three hours of credit.,2,- Choose from the following:,MUS 4710,,,MUS 4712,,,MUS 4718,,,MUS 4720,,,MUS 4744,,,MUS 4746,,,MUS 4748,,,MUS 4749,,,MUS 4759,.,3,- Students are encouraged but not required to take either,PHYS 2110,and,PHYS 2112,or,PHYS 2001,and,PHYS 2002,, which can fulfill the general education natural science sequence requirement. Students should note that,PHYS 2110,requires at least concurrent enrollment in,MATH 1552,.,PHYS 2001,requires trigonometry and/or calculus as a prerequisite.,4,- Students are encouraged but not required to take,MATH 1550,to fulfill the first semester of analytical reasoning.,5,- Students are encouraged but not required to take,MATH 1552,to fulfill the second semester of analytical reasoning.,6,- Students should enroll in an AVATAR Minor Area course that also satisfies the General Education Arts course requirement (not MUS)."
49,,"Music, B.A.",Area of Concentration,"Note: Undergraduate minor except (Not From) Music,1,- Registration in an appropriate music ensemble may be a co-requisite for registering for applied music courses. The requirement for 12 hours of applied music courses may be satisfied by taking six semesters of applied music for two hours of credit or four semesters of applied music for three hours of credit.,2,- Choose from the following:,MUS 4710,,,MUS 4712,,,MUS 4718,,,MUS 4720,,,MUS 4744,,,MUS 4746,,,MUS 4748,,,MUS 4749,,,MUS 4759,.,3,- Students are encouraged but not required to take either,PHYS 2110,and,PHYS 2112,or,PHYS 2001,and,PHYS 2002,, which can fulfill the general education natural science sequence requirement. Students should note that,PHYS 2110,requires at least concurrent enrollment in,MATH 1552,.,PHYS 2001,requires trigonometry and/or calculus as a prerequisite.,4,- Students are encouraged but not required to take,MATH 1550,to fulfill the first semester of analytical reasoning.,5,- Students are encouraged but not required to take,MATH 1552,to fulfill the second semester of analytical reasoning.,6,- Students should enroll in an AVATAR Minor Area course that also satisfies the General Education Arts course requirement (not MUS).,1,- Registration in an appropriate music ensemble may be a corequisite for registering for applied music courses."
50,,"Music, B.A.",Area of Concentration,"Note: Undergraduate minor except (Not From) Music,1,- Registration in an appropriate music ensemble may be a co-requisite for registering for applied music courses. The requirement for 12 hours of applied music courses may be satisfied by taking six semesters of applied music for two hours of credit or four semesters of applied music for three hours of credit.,2,- Choose from the following:,MUS 4710,,,MUS 4712,,,MUS 4718,,,MUS 4720,,,MUS 4744,,,MUS 4746,,,MUS 4748,,,MUS 4749,,,MUS 4759,.,3,- Students are encouraged but not required to take either,PHYS 2110,and,PHYS 2112,or,PHYS 2001,and,PHYS 2002,, which can fulfill the general education natural science sequence requirement. Students should note that,PHYS 2110,requires at least concurrent enrollment in,MATH 1552,.,PHYS 2001,requires trigonometry and/or calculus as a prerequisite.,4,- Students are encouraged but not required to take,MATH 1550,to fulfill the first semester of analytical reasoning.,5,- Students are encouraged but not required to take,MATH 1552,to fulfill the second semester of analytical reasoning.,6,- Students should enroll in an AVATAR Minor Area course that also satisfies the General Education Arts course requirement (not MUS).,1,- Registration in an appropriate music ensemble may be a corequisite for registering for applied music courses."
51,INSTM,"Music Education, B.M.E.",Instrumental,"1,- Choose from the following:,MUS 4250,,,MUS 4251,,,MUS 4252,,,MUS 4253,(maximum two credit hours),,MUS 4254,, or,MUS 4261,. In the instrumental track students whose primary instrument is piano, organ, or guitar must participate in ensembles on a woodwind, brass, orchestral string, or percussion instrument.,2,- Student teaching is offered each fall and spring semester, scheduled as an all day, Monday through Friday experience. Student teachers must also plan for 3:30-4:30 pm meetings on Mondays. No student may schedule more than 15 semester hours of work during the student teaching semester."
52,VOCAL,"Music Education, B.M.E.",Vocal,"1,- Choose from the following:,MUS 4232,,,MUS 4233,,,MUS 4234,,,MUS 4235,,,MUS 4236,.,2,- Student teaching is offered each fall and spring semester, scheduled as an all day, Monday through Friday experience. Student teachers must also plan for 3:30-4:30 pm meetings on Mondays. No student may schedule more than 15 semester hours of work during the student teaching semester.,In the choral track students whose primary instrument is piano, organ, or guitar must complete voice class (,MUS 1001,,,MUS 1002,) or equivalent and two semesters of secondary voice lessons."
53,ADV,"Mass Communication, B.A.M.C.",Digital Advertising,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa."
54,JOURN,"Mass Communication, B.A.M.C.",Journalism,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be from the life sciences, and vice versa.,2,- In order to take,MC 4501,and,MC 4502,, you MUST TAKE,MC 3005,and,MC 3103,/,MC 3104,as prerequisites."
55,POLCM,"Mass Communication, B.A.M.C.",Political Communication,"To ensure your ability to graduate in 8 semesters, you are encouraged to see a Manship School counselor each semester to review your schedule.,1,- If two course sequence is taken in the physical science, the additional three hour course must be from the life sciences, and vice versa."
56,PR,"Mass Communication, B.A.M.C.",Public Relations,"To ensure your ability to graduate in 8 semesters, you are encouraged to see a Manship School counselor each semester to review your schedule.,1,- If two course sequence is taken in the physical science, the additional three hour course must be from the life sciences, and vice versa."
57,LADV,"Mass Communication, B.A.M.C.",Pre-Law Digital Advertising 3+3,
58,LJOURN,"Mass Communication, B.A.M.C.",Pre-Law Journalism 3+3,
59,LPOLCM,"Mass Communication, B.A.M.C.",Pre-Law Political Communication 3+3,
60,LPR,"Mass Communication, B.A.M.C.",Pre-Law Public Relations 3+3,"1,- If two course natural science sequence is taken in the life sciences, the additional three hour natural science course must be from the physical sciences, and vice versa."
61,,"Political Science, B.A. (3+3 Pre-Law Program)",Area of Concentration,"1 -,POLI 1001,recommended but not required. If POLI 1001 is not taken, add three hours of approved POLI courses.,2 - If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,3 - Political Science courses are divided into four fields: (1) American government & politics; (2) comparative government & politics; (3) international politics & law; and (4) political theory.,All students take Introduction to American Government (,POLI 2051,or,POLI 2052,) and must take one course from each of the other three fields as follows:,American Government & Politics,General:,POLI 2051,,,POLI 2052,,,POLI 4000,.,Political Behavior:,POLI 2030,,,POLI 4026,,,POLI 4028,,,POLI 4029,,,POLI 4030,,,POLI 4031,,,POLI 4032,,,POLI 4034,,,POLI 4035,,,POLI 4036,Public Law & Jurisprudence:,POLI 4020,,,POLI 4021,,,POLI 4023,Public Administration:,POLI 2070,,,POLI 4011,,,POLI 4017,State, Urban, Local Government:,POLI 2056,,,POLI 4015,,,POLI 4039,Comparative Government & Politics,General:,POLI 2053,,,POLI 4060,,,POLI 4062,,,POLI 4063,,,POLI 4064,Western Europe:,POLI 4074,,,POLI 4075,,,POLI 4076,,,POLI 4077,Latin America:,POLI 4065,Russia & Eastern Europe:,POLI 4070,,,POLI 4072,Asia:,POLI 4067,POLI 4079,Africa:,POLI 4078,Middle East:,POLI 4061,,,International Politics & Law,International Politics:,POLI 2057,,,POLI 4040,,,POLI 4044,,,POLI 4045,,,POLI 4046,,,POLI 4047,,,POLI 4048,,,POLI 4050,,,POLI 4059,International Law & Organization:,POLI 4041,,,POLI 4042,Foreign Policy:,POLI 4043,Political Theory,Political Theory, General:,POLI 2060,,,POLI 4090,,,POLI 4234,History of Political Thought:,POLI 4080,,,POLI 4081,,,POLI 4082,Contemporary Political Thought:,POLI 4096,,,POLI 4097,,,POLI 4098,Each field has a special topics course available that may be taken for up to six hours of credit when topics vary. These courses are:,POLI 4000,(American Government & Politics);,POLI 4040,(International Politics & Law);,POLI 4060,(Comparative Government & Politics); and,POLI 4090,(Political Theory). In addition,,POLI 4996,,,POLI 4997,,,POLI 4998,, and,POLI 4999,may count toward a political science field with approval of the departmental advisor."
62,,"Political Science, B.A. (3+3 Pre-Law Program)",Area of Concentration,"1 -,POLI 1001,recommended but not required. If POLI 1001 is not taken, add three hours of approved POLI courses.,2 - If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,3 - Political Science courses are divided into four fields: (1) American government & politics; (2) comparative government & politics; (3) international politics & law; and (4) political theory.,All students take Introduction to American Government (,POLI 2051,or,POLI 2052,) and must take one course from each of the other three fields as follows:,American Government & Politics,General:,POLI 2051,,,POLI 2052,,,POLI 4000,.,Political Behavior:,POLI 2030,,,POLI 4026,,,POLI 4028,,,POLI 4029,,,POLI 4030,,,POLI 4031,,,POLI 4032,,,POLI 4034,,,POLI 4035,,,POLI 4036,Public Law & Jurisprudence:,POLI 4020,,,POLI 4021,,,POLI 4023,Public Administration:,POLI 2070,,,POLI 4011,,,POLI 4017,State, Urban, Local Government:,POLI 2056,,,POLI 4015,,,POLI 4039,Comparative Government & Politics,General:,POLI 2053,,,POLI 4060,,,POLI 4062,,,POLI 4063,,,POLI 4064,Western Europe:,POLI 4074,,,POLI 4075,,,POLI 4076,,,POLI 4077,Latin America:,POLI 4065,Russia & Eastern Europe:,POLI 4070,,,POLI 4072,Asia:,POLI 4067,POLI 4079,Africa:,POLI 4078,Middle East:,POLI 4061,,,International Politics & Law,International Politics:,POLI 2057,,,POLI 4040,,,POLI 4044,,,POLI 4045,,,POLI 4046,,,POLI 4047,,,POLI 4048,,,POLI 4050,,,POLI 4059,International Law & Organization:,POLI 4041,,,POLI 4042,Foreign Policy:,POLI 4043,Political Theory,Political Theory, General:,POLI 2060,,,POLI 4090,,,POLI 4234,History of Political Thought:,POLI 4080,,,POLI 4081,,,POLI 4082,Contemporary Political Thought:,POLI 4096,,,POLI 4097,,,POLI 4098,Each field has a special topics course available that may be taken for up to six hours of credit when topics vary. These courses are:,POLI 4000,(American Government & Politics);,POLI 4040,(International Politics & Law);,POLI 4060,(Comparative Government & Politics); and,POLI 4090,(Political Theory). In addition,,POLI 4996,,,POLI 4997,,,POLI 4998,, and,POLI 4999,may count toward a political science field with approval of the departmental advisor.,1 -,POLI 1001,recommended but not required. If,POLI 1001,is not taken, add three hours of approved POLI courses.,2 - If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,3 - Political Science courses are divided into four fields: (1) American government and politics; (2) comparative government and politics; (3) international politics and law; and (4) political theory.,All students take Introduction to American Government (,POLI 2051,or,POLI 2052,) and must take one course from each of the other three fields as follows:,American Government & Politics,General:,POLI 2051,,,POLI 2052,,,POLI 4000,Political Behavior:,POLI 2030,,,POLI 4026,,,POLI 4028,,,POLI 4030,,,POLI 4031,,,POLI 4032,,,POLI 4034,,,POLI 4035,,,POLI 4036,Public Law & Jurisprudence:,POLI 4020,,,POLI 4021,,,POLI 4023,Public Administration:,POLI 2070,,,POLI 4011,,,POLI 4017,State, Urban, Local Government:,POLI 2056,,,POLI 4015,,,POLI 4039,Comparative Government & Politics,General:,POLI 2053,,,POLI 4060,,,POLI 4062,,,POLI 4063,,,POLI 4064,Western Europe:,POLI 4074,,,POLI 4075,,,POLI 4076,,,POLI 4077,Latin America:,POLI 4065,Russia & Eastern Europe:,POLI 4070,,,POLI 4072,Asia:,POLI 4067,,,POLI 4079,Africa:,POLI 4078,Middle East:,POLI 4061,International Politics & Law,International Politics:,POLI 2057,,,POLI 4040,,,POLI 4044,,,POLI 4045,,,POLI 4046,,,POLI 4047,,,POLI 4048,,,POLI 4050,,,POLI 4059,International Law & Organization:,POLI 4041,,,POLI 4042,Foreign Policy:,POLI 4043,Political Theory,Political Theory, General:,POLI 2060,,,POLI 4090,History of Political Thought:,POLI 4080,,,POLI 4081,,,POLI 4082,Contemporary Political Thought:,POLI 4096,,,POLI 4097,,,POLI 4098,Each field has a special topics course available that may be taken for up to six hours of credit when topics vary. These courses are:,POLI 4000,(American Government and Politics);,POLI 4040,(International Politics and Law);,POLI 4060,(Comparative Government and Politics); and,POLI 4090,(Political Theory). In addition,,POLI 4996,,,POLI 4997,,,POLI 4998,, and,POLI 4999,may count toward a political science field with approval of the departmental advisor."
63,,"Political Science, B.A. (3+3 Pre-Law Program)",Area of Concentration,"1 -,POLI 1001,recommended but not required. If POLI 1001 is not taken, add three hours of approved POLI courses.,2 - If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,3 - Political Science courses are divided into four fields: (1) American government & politics; (2) comparative government & politics; (3) international politics & law; and (4) political theory.,All students take Introduction to American Government (,POLI 2051,or,POLI 2052,) and must take one course from each of the other three fields as follows:,American Government & Politics,General:,POLI 2051,,,POLI 2052,,,POLI 4000,.,Political Behavior:,POLI 2030,,,POLI 4026,,,POLI 4028,,,POLI 4029,,,POLI 4030,,,POLI 4031,,,POLI 4032,,,POLI 4034,,,POLI 4035,,,POLI 4036,Public Law & Jurisprudence:,POLI 4020,,,POLI 4021,,,POLI 4023,Public Administration:,POLI 2070,,,POLI 4011,,,POLI 4017,State, Urban, Local Government:,POLI 2056,,,POLI 4015,,,POLI 4039,Comparative Government & Politics,General:,POLI 2053,,,POLI 4060,,,POLI 4062,,,POLI 4063,,,POLI 4064,Western Europe:,POLI 4074,,,POLI 4075,,,POLI 4076,,,POLI 4077,Latin America:,POLI 4065,Russia & Eastern Europe:,POLI 4070,,,POLI 4072,Asia:,POLI 4067,POLI 4079,Africa:,POLI 4078,Middle East:,POLI 4061,,,International Politics & Law,International Politics:,POLI 2057,,,POLI 4040,,,POLI 4044,,,POLI 4045,,,POLI 4046,,,POLI 4047,,,POLI 4048,,,POLI 4050,,,POLI 4059,International Law & Organization:,POLI 4041,,,POLI 4042,Foreign Policy:,POLI 4043,Political Theory,Political Theory, General:,POLI 2060,,,POLI 4090,,,POLI 4234,History of Political Thought:,POLI 4080,,,POLI 4081,,,POLI 4082,Contemporary Political Thought:,POLI 4096,,,POLI 4097,,,POLI 4098,Each field has a special topics course available that may be taken for up to six hours of credit when topics vary. These courses are:,POLI 4000,(American Government & Politics);,POLI 4040,(International Politics & Law);,POLI 4060,(Comparative Government & Politics); and,POLI 4090,(Political Theory). In addition,,POLI 4996,,,POLI 4997,,,POLI 4998,, and,POLI 4999,may count toward a political science field with approval of the departmental advisor.,1 -,POLI 1001,recommended but not required. If,POLI 1001,is not taken, add three hours of approved POLI courses.,2 - If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,3 - Political Science courses are divided into four fields: (1) American government and politics; (2) comparative government and politics; (3) international politics and law; and (4) political theory.,All students take Introduction to American Government (,POLI 2051,or,POLI 2052,) and must take one course from each of the other three fields as follows:,American Government & Politics,General:,POLI 2051,,,POLI 2052,,,POLI 4000,Political Behavior:,POLI 2030,,,POLI 4026,,,POLI 4028,,,POLI 4030,,,POLI 4031,,,POLI 4032,,,POLI 4034,,,POLI 4035,,,POLI 4036,Public Law & Jurisprudence:,POLI 4020,,,POLI 4021,,,POLI 4023,Public Administration:,POLI 2070,,,POLI 4011,,,POLI 4017,State, Urban, Local Government:,POLI 2056,,,POLI 4015,,,POLI 4039,Comparative Government & Politics,General:,POLI 2053,,,POLI 4060,,,POLI 4062,,,POLI 4063,,,POLI 4064,Western Europe:,POLI 4074,,,POLI 4075,,,POLI 4076,,,POLI 4077,Latin America:,POLI 4065,Russia & Eastern Europe:,POLI 4070,,,POLI 4072,Asia:,POLI 4067,,,POLI 4079,Africa:,POLI 4078,Middle East:,POLI 4061,International Politics & Law,International Politics:,POLI 2057,,,POLI 4040,,,POLI 4044,,,POLI 4045,,,POLI 4046,,,POLI 4047,,,POLI 4048,,,POLI 4050,,,POLI 4059,International Law & Organization:,POLI 4041,,,POLI 4042,Foreign Policy:,POLI 4043,Political Theory,Political Theory, General:,POLI 2060,,,POLI 4090,History of Political Thought:,POLI 4080,,,POLI 4081,,,POLI 4082,Contemporary Political Thought:,POLI 4096,,,POLI 4097,,,POLI 4098,Each field has a special topics course available that may be taken for up to six hours of credit when topics vary. These courses are:,POLI 4000,(American Government and Politics);,POLI 4040,(International Politics and Law);,POLI 4060,(Comparative Government and Politics); and,POLI 4090,(Political Theory). In addition,,POLI 4996,,,POLI 4997,,,POLI 4998,, and,POLI 4999,may count toward a political science field with approval of the departmental advisor.,1 -,POLI 1001,recommended but not required. If,POLI 1001,is not taken, add three hours of approved POLI courses.,2 - If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,3 - Political Science courses are divided into four fields: (1) American government and politics; (2) comparative government and politics; (3) international politics and law; and (4) political theory.,All students take Introduction to American Government (,POLI 2051,or,POLI 2052,) and must take one course from each of the other three fields as follows:,American Government & Politics,General:,POLI 2051,,,POLI 2052,,,POLI 4000,Political Behavior:,POLI 2030,POLI 4026,POLI 4028,POLI 4030,POLI 4031,POLI 4032,POLI 4034,POLI 4035,POLI 4036,Public Law & Jurisprudence:,POLI 4020,POLI 4021,POLI 4023,Public Administration:,POLI 2070,POLI 4011,POLI 4017,State, Urban, Local Government:,POLI 2056,POLI 4015,POLI 4039,Comparative Government & Politics,General:,POLI 2053,POLI 4060,POLI 4062,POLI 4063,POLI 4064,Western Europe:,POLI 4074,POLI 4075,POLI 4076,POLI 4077,Latin America:,POLI 4065,Russia & Eastern Europe:,POLI 4070,POLI 4072,Asia:,POLI 4067,POLI 4079,Africa:,POLI 4078,Middle East:,POLI 4061,International Politics & Law,International Politics:,POLI 2057,POLI 4040,POLI 4045,POLI 4046,POLI 4047,POLI 4048,POLI 4050,POLI 4059,International Law & Organization:,POLI 4041,POLI 4042,Foreign Policy:,POLI 4043,Political Theory,Political Theory, General:,POLI 2060,POLI 4090,History of Political Thought:,POLI 4080,POLI 4081,POLI 4082,Contemporary Political Thought:,POLI 4096,POLI 4097,POLI 4098,Each field has a special topics course available that may be taken for up to six hours of credit when topics vary. These courses are:,POLI 4000,(American Government and Politics);,POLI 4040,(International Politics and Law);,POLI 4060,(Comparative Government and Politics); and,POLI 4090,(Political Theory). In addition,,POLI 4996,,,POLI 4997,,,POLI 4998,, and,POLI 4999,may count toward a political science field with approval of the departmental advisor."
