ID,Program,degree,type,concentration,credit,hours,restrictions
321,Nuclear,Nuclear Power Engineering Minor,Minor,,"To earn a  minor in nuclear power engineering , a student must complete  ME 3834     or equivalent,  ME 4433   , three nuclear power core courses, and one nuclear power related course chosen from an approved list of nuclear power technical electives. A grade of “C” or better in each course is required. Only mechanical engineering majors are expected to complete this minor with the stated 18-19 credit hours. Students majoring in other disciplines may require more credit hours than the stated ones because of the prerequisites.",120,
322,Mechanical,Mechanical Engineering Minor,Minor,,"To earn a  minor in mechanical engineering , a student must complete at least 18 semester hours of credit in mechanical engineering with a grade of “C” or better in each course. The 18 hours must include  ME 2334    or  ME 3333    , and  ME 2733   ,  ME 3133   , and at least six hours must be at the 4000 level.",120,
323,Materials,Materials Science and Engineering Minor,Minor,,"To earn a  minor in materials science and engineering , a student must complete  ME 2733   ,  ME 3701   ,  ME 4723   ,  ME 4743   ,  CE 3400    or equivalent, and two additional courses chosen from an approved list of technical electives. A grade of “C” or better in each course is required.",120,
324,International,International Automotive Engineering Minor,Minor,,"To earn a  minor in international automotive engineering , a student must complete  ME 2334    or equivalent,  ME 3133   , and four additional courses from an approved list of technical electives of which at least three must be automotive core courses and one may be a related course. At least two of the courses must be taken while studying at Politecnico di Torino in Torino, Italy. A grade of “C” or better in each course is required. Only mechanical engineering students are expected to complete this minor with the stated 19-22 hours. Students majoring in other disciplines may require more credit hours than stated due to prerequisites.",120,
325,E-commerce,E-commerce Engineering Minor,Minor,,"To earn an  E-commerce Engineering  minor ,  a student must complete 18 credit hours of coursework. These must include  IE 2060    or  CSC 1253    or  CSC 1350    or  ISDS 3107   ;  IE 4425    or  CSC 4402    or  ISDS 3110   ;  IE 4427   ; and three courses from an elective list maintained by the Mechanical & Industrial Engineering Department. A grade of “C” or better in each course is required.",120,
326,Aerospace,Aerospace Engineering Minor,Minor,,"To earn a  minor in aerospace engineering , a student must complete  ME 3834     or equivalent,  CE 3400   , three aerospace core courses, and one aerospace related course chosen from an approved list of aerospace technical electives. A grade of “C” or better in each course is required.",120,
327,Electrical,Electrical Engineering Minor,Minor,,"Any student not majoring in electrical engineering may obtain a  minor in electrical engineering  by completing 21 credit hours of coursework with a minimum GPA of 2.0 in the minor field and a grade of “C” or better in each course. The coursework must include  EE 2120   ,  EE 2130   ,  EE 2230   ,  EE 2741   ,  EE 3610   , and six additional hours from the following list:  EE 3160   ,  EE 3220   ,  EE 3232   ,  EE 3320   ,  EE 3410   ,  EE 3530   .",120,
328,Computer,Computer Science Minor,Minor,,"An undergraduate  minor in computer science  is available. Required courses are a two-course 6 credit hour introductory programming sequence,  CSC 1253    and  CSC 1254    or  CSC 1350    and  CSC 1351   ,   CSC 2259   ,  CSC 3102   ,  CSC 3501    or  EE 3755   , and three hours of computer science electives at the 3000 level and above; and  CSC 4101    or  CSC 4103    (total of 21 hours).",120,
329,Computer,Computer Engineering Minor,Minor,,"Any student not majoring in computer engineering may obtain a  minor in computer engineering  by completing 20 credit hours of coursework with a minimum GPA of 2.0 in the minor field and a grade of “C” or better in each course. The coursework must include  EE 2120   ,  EE 2230   ,  EE 2741   ,  EE 2742   ,  EE 3755    and six additional hours from the following list:  EE 3710   ,  EE 3752   , EE 47xx.",120,
330,CSCCCN,"Computer Science, B.S.",Major,Cloud Computing and Networking,"{""Semester 1"": [""CSC 1350"", ""ENGL 1001"", ""MATH 1550"", ""Natural""], ""Semester 2"": [""CSC 1351"", ""MATH 1552"", ""Natural"", ""Humanities"", ""Natural""], ""Semester 3"": [""CSC 2259"", ""CSC 3102"", ""MATH 2090"", ""Natural"", ""Natural"", ""Humanities""], ""Semester 4"": [""CSC 2262"", ""CSC 2610"", ""CSC 3380"", ""ENGL 2000"", ""Humanities""], ""Semester 5"": [""CSC 4402"", ""CSC 4501"", ""IE 3302"", ""Approved CCN Area Elective (3)[2]"", ""Approved Technical Electives (3)[4]""], ""Semester 6"": [""CSC 3200"", ""CSC 3501"", ""CSC 4103"", ""CSC 4330"", ""Social"", ""Approved Technical Elective (3)[4]""], ""Semester 7"": [""CSC 4101"", ""CSC 4610"", ""Approved CCN Area Elective (3)[2]"", ""Approved Electives (3)"", ""Social""], ""Semester 8"": [""CSC (2000-level or above) Elective (3)[3]"", ""CSC 4562"", ""Approved Electives (3)"", ""Arts""]}",120,"[""CSC 1240"", "";"", ""ELRC 4006"", "";"", ""EXST 2201"", "";"", ""ISDS 2000"", "","", ""ISDS 2001"", "","", ""ISDS 2010"", "","", ""ISDS 2011"", "","", ""ISDS 3070"", "","", ""ISDS 3075"", "";"", ""PSYC 4111"", ""; and"", ""SOCL 2201""]"
331,CSCSD,"Computer Science, B.S.",Major,Computer Science & Second Discipline,"{""Semester 1"": [""CSC 1350"", ""ENGL 1001"", ""MATH 1550"", ""Natural""], ""Semester 2"": [""CSC 1351"", ""MATH 1552"", ""Natural"", ""Humanities"", ""Natural""], ""Semester 3"": [""CSC 2259"", ""CSC 3102"", ""MATH 2090"", ""Natural"", ""Natural"", ""Humanities""], ""Semester 4"": [""CSC 2262"", ""CSC 3380"", ""CSC (2000-level or above) Elective (3)"", ""ENGL 2000"", ""Humanities""], ""Semester 5"": [""CSC 3501"", ""CSC 4402"", ""IE 3302"", ""Approved Technical Elective (3)[3]"", ""Approved SD Area Elective (3)[2]""], ""Semester 6"": [""CSC 3200"", ""CSC 4101"", ""CSC 4330"", ""Approved SD Area Elective (3)[2]"", ""Social"", ""Approved Technical Elective (3)[3]""], ""Semester 7"": [""CSC 4103"", ""CSC (2000-level) Elective (3)"", ""CSC (3000-level) Elective (3)"", ""Approved SD Area Electives (6)[2]""], ""Semester 8"": [""CSC (4000-level or above) Elective (3)"", ""Approved SD Area Elective (3)[2]"", ""Arts"", ""Social""]}",120,"[""CSC 1240"", "";"", ""ELRC 4006"", "";"", ""EXST 2201"", "";"", ""ISDS 2000"", "","", ""ISDS 2001"", "","", ""ISDS 2010"", "","", ""ISDS 2011"", "","", ""ISDS 3070"", "","", ""ISDS 3075"", "";"", ""PSYC 4111"", ""; and"", ""SOCL 2201""]"
332,CSCCYB,"Computer Science, B.S.",Major,Cybersecurity,"{""Semester 1"": [""CSC 1350"", ""MATH 1550"", ""ENGL 1001"", ""Natural""], ""Semester 2"": [""CSC 1351"", ""MATH 1552"", ""Humanities"", ""Natural"", ""Natural""], ""Semester 3"": [""CSC 3102"", ""CSC 2259"", ""MATH 2090"", ""Humanities"", ""Natural"", ""Natural""], ""Semester 4"": [""CSC 3380"", ""CSC 3304"", ""CSC 2262"", ""ENGL 2000"", ""Humanities""], ""Semester 5"": [""CSC 3501"", ""CSC 4103"", ""CSC 2362"", ""CSC 3200"", ""Approved Technical Elective (3)[3]""], ""Semester 6"": [""CSC 4330"", ""CSC 4360"", ""CSC 4402"", ""Approved Technical Elective (3)[3]"", ""Social""], ""Semester 7"": [""CSC 4101"", ""CSC 4501"", ""CSC 4362"", ""IE 3302"", ""Social""], ""Semester 8"": [""CSC 4562"", ""Approved CYB Area Elective (3)[2]"", ""Approved Elective (3)"", ""Approved Elective (3)"", ""Arts""]}",120,
333,CSCDSA,"Computer Science, B.S.",Major,Data Science and Analytics,"{""Semester 1"": [""CSC 1350"", ""ENGL 1001"", ""MATH 1550"", ""Natural""], ""Semester 2"": [""CSC 1351"", ""MATH 1552"", ""Natural"", ""Natural"", ""Humanities""], ""Semester 3"": [""CSC 2259"", ""CSC 3102"", ""MATH 2090"", ""Natural"", ""Natural"", ""Humanities""], ""Semester 4"": [""CSC 2262"", ""CSC 3380"", ""CSC 3501"", ""ENGL 2000"", ""Humanities""], ""Semester 5"": [""CSC 4402"", ""CSC 2730"", ""IE 3302"", ""CSC (4000-Level or above) Elective (3)[3]"", ""Approved Technical Elective (3)[4]""], ""Semester 6"": [""CSC 4103"", ""CSC 4330"", ""CSC 4740"", ""Social"", ""Approved Technical Elective (3)[4]""], ""Semester 7"": [""CSC 3200"", ""CSC 4101"", ""CSC 3730"", ""Social"", ""Approved DSA Area Elective (3)[2]""], ""Semester 8"": [""CSC (2000-Level or above) Elective (3)[3]"", ""CSC 4343"", ""Approved Elective (6)"", ""Arts""]}",120,"[""CSC 1240"", "";"", ""ELRC 4006"", "";"", ""EXST 2201"", "";"", ""ISDS 2000"", "","", ""ISDS 2001"", "","", ""ISDS 2010"", "","", ""ISDS 2011"", "","", ""ISDS 3070"", "","", ""ISDS 3075"", "";"", ""PSYC 4111"", ""; and"", ""SOCL 2201""]"
334,CSCSEG,"Computer Science, B.S.",Major,Software Engineering,"{""Semester 1"": [""CSC 1350"", ""ENGL 1001"", ""MATH 1550"", ""Natural""], ""Semester 2"": [""CSC 1351"", ""MATH 1552"", ""Natural"", ""Natural"", ""Humanities""], ""Semester 3"": [""CSC 2259"", ""CSC 3102"", ""MATH 2090"", ""Natural"", ""Natural"", ""Humanities""], ""Semester 4"": [""CSC 2262"", ""CSC 3304"", ""CSC 3501"", ""ENGL 2000"", ""Humanities""], ""Semester 5"": [""CSC 3380"", ""CSC 4101"", ""CSC 3200"", ""IE 3302"", ""Approved Technical Elective (3)[4]""], ""Semester 6"": [""CSC 4103"", ""CSC 4402"", ""CSC 4351"", ""Social"", ""Approved Technical Elective (3)[4]""], ""Semester 7"": [""CSC 4330"", ""CSC SEG  (2000-level or above) Elective (3)"", ""Approved SEG Area Elective (3)[2]"", ""Approved Elective (3)"", ""Social""], ""Semester 8"": [""CSC 4332"", ""CSC SEG  (2000-level or above) Elective (3)[3]"", ""Approved SEG Area Electives (3)[2]"", ""Arts"", ""Approved Elective (3)""]}",120,"[""CSC 1240"", "";"", ""ELRC 4006"", "";"", ""EXST 2201"", "";"", ""ISDS 2000"", "","", ""ISDS 2001"", "","", ""ISDS 2010"", "","", ""ISDS 2011"", "","", ""ISDS 3070"", "","", ""ISDS 3075"", "";"", ""PSYC 4111"", ""; and"", ""SOCL 2201""]"
335,,"Construction Management, B.S.C.M. (Joint MBA Program)",Major,Junior Summer and Intersessions,"{""Fourth Year - Fall"": [""BADM 7020"", ""BADM 7030"", ""BADM 7100"", ""CM 4211""], ""Fourth Year- Spring"": [""BADM 7060"", ""BADM 7090"", ""CM 4221"", ""CM 4202""]}",120,
336,,"Construction Management, B.S.C.M. (Joint MBA Program)",Major,Senior Year,"{""Fourth Year - Fall"": [""BADM 7020"", ""BADM 7030"", ""BADM 7100"", ""CM 4211""], ""Fourth Year- Spring"": [""BADM 7060"", ""BADM 7090"", ""CM 4221"", ""CM 4202""]}",120,
337,,"Construction Management, B.S.C.M. (Joint MBA Program)",Major,Award Bachelor of Science in Construction Management,"{""Fourth Year - Summer"": [""BADM 7000""], ""Fifth Year - Fall"": [""BADM 7200"", ""BADM 7050"", ""BADM 7070"", ""MBA Elective (3)""], ""Fifth Year - Spring"": [""BADM 7120"", ""BADM 7190"", ""BADM 7140"", ""MBA Elective (3)""]}",120,
338,,"Construction Management, B.S.C.M. (Joint MBA Program)",Major,Final Year,"{""Fourth Year - Summer"": [""BADM 7000""], ""Fifth Year - Fall"": [""BADM 7200"", ""BADM 7050"", ""BADM 7070"", ""MBA Elective (3)""], ""Fifth Year - Spring"": [""BADM 7120"", ""BADM 7190"", ""BADM 7140"", ""MBA Elective (3)""]}",120,
339,Post-Baccalaureate,Post-Baccalaureate Certificate in Facilities Management,Management,,"(XCCFM) The Post-Baccalaureate Certificate in Facilities Management will be conferred upon students who demonstrate work of high merit that entails scholarship and outstanding academic achievement through six online Facilities Management (FM) courses specifically designed for the industrial sector.  Professional FM serves as an interdisciplinary business function with the objective of coordinating demand and supply of facilities and services within public and private organizations. The term “Facility” (pl. facilities) means something that is built, installed or established to serve a purpose, which, in general, is every “Tangible asset that supports an organization.” Examples are real estate property, buildings, technical infrastructure, (HVAC), lighting, transportation, IT-services, furniture, Custodial, grounds, and other user­specific equipment and appliances. FM is the practice of coordinating the physical workplace with the people and work of the organization. It integrates the principles of business administration, architecture and the behavioral and engineering sciences.  A grade of “C” or better is required in all CM courses. *The LSU Board of Supervisors may modify tuition and/or fees at any time without advance notice. This is an  online program  designed for career-change, post-baccalaureate students; therefore, please see the  LSU Online section of this catalog    for more information. A post-baccalaureate certificate, as defined by the Board of Regents, is “an academic offering that is earned after a student has already completed a recognized baccalaureate degree.”",120,
340,Post-Baccalaureate,Post-Baccalaureate Certificate in Construction Management,Management,,"(XCCM) The Post-Baccalaureate Certificate in Construction Management will be conferred upon students who demonstrate work of high merit that entails scholarship and outstanding academic achievement through six online core Construction Management courses specifically designed for the program. Students who complete the requirements will acquire a perspective and the needed basic skills of a construction manager in both industry and society. This online program will prepare career change graduate students (especially those in architecture and business) or qualified military personnel. The Post-Baccalaureate Certificate in Construction Management also helps to prepare individuals who want to take the American Institute of Constructors (AIC) Associate Constructor Level I Exam and provides the basic leveling courses required for needed for most construction management/science graduate programs in the US. *The LSU Board of Supervisors may modify tuition and/or fees at any time without advance notice. This is an   online program  designed for career-change, post-baccalaureate students; therefore, please see the  LSU Online section of this catalog    for more information. A post-baccalaureate certificate, as defined by the Board of Regents, is “an academic offering that is earned after a student has already completed a recognized baccalaureate degree.”",120,
341,Construction,Construction Management Undergraduate Certificate,Certificate,,"(UCCM) The Undergraduate Certificate in Construction Management will be conferred upon students who demonstrate work of high merit that entails scholarship and outstanding academic achievement through eight online fundamental Construction Management courses specifically designed for online delivery. Students who complete the requirements will acquire the basic skills of a construction manager in industry. This Undergraduate Certificate in Construction Management also helps to prepare individuals who want to take the American Institute of Constructors (AIC) Associate Constructor Level I Exam (if they have enough qualifying work experience to take the exam).  A grade of “C” or better is required in all CM courses. *The LSU Board of Supervisors may modify tuition and/or fees at any time without advance notice. This is an online program designed for students without a college degree; therefore, please see the  LSU Online    section of this catalog for more information.",120,
342,Construction,Construction Management Minor,Minor,,"To graduate with a  minor in construction management , non-majors must complete  CM 1112   ,  CM 2113   ,  CM 2116   ,  CM 3111   ,  CM 4101    and  CM 4221   . Registration in any CM course above  CM 2112    is restricted to students admitted to a senior college with a declared CM major or minor. A grade of “C” or better is required in each course.",120,
343,Transportation,Transportation Engineering Minor,Minor,,"To earn a  minor in transportation  engineering, a student must complete, with a grade of “C” or better in each course:  CE 3600   ,  CE 4600   ,  CE 4650   ,  CE 4670    (or  CE 4660   ),  EXST 2201   , and three additional courses chosen from an approved list of technical/design/analysis electives available in the dean’s office.",120,
344,Surveying,Surveying Minor,Minor,,"To earn a  minor in surveying , a student must complete  CE 3500   ,  CE 4500   ,  CE 4520   ,  CE 4530   , and  CE 4550   . The State of Louisiana Revised Statutes 37:693.B(3b) and (4f) specify the educational requirements necessary for licensing as a Professional Land Surveyor. Additional courses will be required by the board for the land surveyor license. A list of required and elective courses may be obtained from the Louisiana Professional Engineers and Land Surveyors registration board (LAPELS).",120,
345,Structural,Structural Engineering Minor,Minor,,"To earn a  minor in structural engineering , a student must complete  CE 3415   ,  CE 4400   ,  CE 4410   ,  CE 4430    or  CE 4460   ,  CE 4435   , and two additional courses chosen from an approved list ( CE 4420   ,  CE 4440   ,  CE 4450   , and no more than one of  CE 4300   / CE 4310   / CE 4660   .) The additional technical/design/analysis electives are available in the dean’s office. A grade of “C” or better in each course is required.",120,
346,Environmental,Environmental Engineering Minor,Minor,,"To earn a  minor in environmental engineering , students in the College of Engineering must complete  EVEG 3200     and  EVEG 3110     and five courses chosen from a list of approved courses available in the dean’s office.",120,
347,Sugar,Sugar Engineering Minor,Minor,,"To earn a  minor in sugar engineering , students in the College of Engineering must complete  BE 4342    or  BE 3340   ,  BE 4989   *,  BIOL 2083      or  CHE 4260   ,  EE 3950   ,  ME 4433   , and an approved design project. A grade of “C” or better in each course is required. * BE 4989    can only be taken when the topic is related to Sugar Engineering.",120,
348,Biological,Biological Engineering Minor,Minor,,"Any student not majoring in biological engineering may obtain a  minor in biological engineering  by completing each of these courses with a grade of “C” or better:  BIOL 1201   ,  BIOL 1208   ,  BIOL 1202   ,  BIOL 1209   ,  BIOL 2051   ,  BE 3340   ,  BE 4303   , and two courses chosen from a list of approved Design Electives available in the  Department of Biological & Agricultural Engineering   ’s main office.",120,
349,Technical,Technical Sales Minor,Minor,,"Students in the College of Engineering wishing to earn a  minor in technical sales  must complete  ACCT 2000   ,  BLAW 3201     or  CM 4211   ,  ECON 2030   ,  IE 3201     or  FIN 3715    or  PETE 3025   ,  MGT 3200   ,  MKT 3401   ,  PHYS 1202   ,  PHYS 2112    or  PHYS 2113    or  PHYS 2002   , and  CMST 1061   ,  CMST 2010   ,  CMST 2060     or  CMST 2061   . Students in other colleges must have approval from the College of Engineering dean’s office to declare this minor. Students who return to campus after having completed their undergraduate degrees and who complete the surveying or technical sales minors will be issued a certificate by the college.",120,
350,Robotics,Robotics Engineering Minor,Minor,,"To earn a  Robotics Engineering  minor, a student must complete 21 credit hours of coursework with a minimum GPA of 2.5 in the minor field and a grade of “C” or better in each of the minor courses. These must include:  MATH 2070    or  MATH 2085    or  MATH 2090   ;  ME 2543    or  IE 2060    or  CSC 1253    or  CSC 1350   ;  ENGR 3100   ; three courses from the approved list of CORE courses of which at least one must be outside of the student’s major academic unit; and one course from the approved list of CAPSTONE courses. Of the 21 credit hours of coursework, at most 15 can overlap with the student’s major academic degree.",120,
351,Digital,Digital Media Arts & Engineering Minor,Minor,,"To earn a  Digital Media Arts & Engineering–Technology track (DMAET) minor , a student must complete 21 credit hours of coursework. These must include:  CSC 1253   ,  CSC 1350    or  IE 2060   ; one course from  ART 1001   ,  ART 1011   ,  ARTH 2470   ,  MUS 1751   ,  MUS 1799   ,  ENGL 2009   ; nine credit hours of approved engineering and/or science electives; three credit hours of approved arts electives; and the required three credit hour DMAE undergraduate capstone course,  EE 4859   .",120,
352,German,German for Engineers,Engineers,,"To earn a  German for Engineers  minor, a student must complete a minimum of 18 credit hours of coursework. These must include:  GERM 1101   ,  GERM 1102   ,  GERM 2101   ,  GERM 2102   ,  GERM 3060   , and 1-4 credit hours of an approved internship/praxis option with one of the following electives:  BE 4989   ,  CHE 3249   ,  CM 4208   ,  EE 3070   ,  CSC 3999   ,  IE 3699   , or  ME 3249   . Alternatively, a student can satisfy the praxis option within the minor by: -completing at least on semester of study abroad at a university in Germany, Austria, or Switzerland where German is the main language of instruction, or -completing an engineering-related LSU Summer Program with focus on Austrian, Swiss, or German businesses and industries, such as the program Encounter Engineering in Europe (E3).",120,
353,Oceanography,Oceanography & Coastal Sciences Minor,Minor,,"The Department of Oceanography and Coastal Sciences offers a minor in  oceanography and coastal sciences . Requirements for the minor are completion of  OCS 2007    and  OCS 2008    with a grade of “C” or better (6 hours) and completion of at least 12 additional credit hours of approved electives with a grade of “C” or better, at least six hours of which must be at the 3000 level or higher. Approved electives include all DOCS undergraduate courses. Students majoring in coastal environmental science may  not  choose oceanography and coastal sciences as a minor.",120,
354,ACES,"Coastal Environmental Science, B.S. CES.",Major,Applied Coastal Environmental Science,"{""Semester 1"": [""ENVS 1126"", ""ENVS 1127"", """", ""ENVS 1010"", ""OCS 1010""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", ""CHEM 1202"", ""CHEM 1212"", ""ENGL 1001"", ""Arts""], ""Semester 3"": [""CHEM 2261"", ""ENGL 2000"", ""OCS 2007"", ""EXST 2201"", ""Approved Electives (2)""], ""Semester 4"": [""CHEM 2001"", ""CHEM 2002"", ""OCS 2011"", ""OCS 2008"", """", ""BIOL 2051"", ""BIOL 2153"", ""OCS 2050"", ""RNR 2101"", """", ""Social""], ""Semester 5"": [""PHYS 2001"", ""OCS 2020"", ""PHYS 2108"", ""EXST 3201"", ""OCS 3103"", ""Approved Coastal Environmental Science Elective (3)[1]""], ""Semester 6"": [""PHYS 2002"", ""PHYS 2109"", ""ENVS 3102"", ""Humanities"", ""Approved Electives (4)""], ""Semester 7"": [""Approved Coastal Environmental Science Electives (6)[1]"", ""Social"", ""Humanities""], ""Semester 8"": [""Approved Coastal Environmental Science Electives (6)[1]"", ""Approved Electives (3-2)"", ""Humanities""]}",120,
355,ESR,"Coastal Environmental Science, B.S. CES.",Major,Environmental Science and Research,"{""Semester 1"": [""BIOL 1201"", ""BIOL 1208"", ""CHEM 1201"", ""MATH 1550"", """", ""ENVS 1126"", ""ENVS 1127"", """", ""ENVS 1010"", ""OCS 1010""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", ""CHEM 1202"", ""CHEM 1212"", ""ENGL 1001"", ""Arts""], ""Semester 3"": [""CHEM 2261"", ""ENGL 2000"", ""OCS 2007"", ""MATH 1552"", ""Approved Electives (2)""], ""Semester 4"": [""CHEM 2262"", """", ""BIOL 2051"", ""BIOL 2153"", """", ""EXST 2201"", ""MATH 2057"", """", ""OCS 2008"", ""Social""], ""Semester 5"": [""CHEM 2364"", """", ""MATH 2065"", ""ENVS 3102"", """", ""OCS 2020"", ""PHYS 2110"", ""PHYS 2108"", ""Social""], ""Semester 6"": [""ENVS 3999"", ""OCS 3999"", """", ""Humanities"", ""Approved CES Electives (3)[1]""], ""Semester 7"": [""Humanities"", ""Approved Elective (3)"", ""Approved Coastal Environmental Science Electives (9)[1]""], ""Semester 8"": [""Approved Elective (4-3)"", ""Approved Coastal Environmental Science Electives (6)[1]"", ""Humanities""]}",120,
356,DELTA,"Coastal Environmental Science, B.S. CES.",Major,Deltaic Science,"{""Semester 1"": [""ENVS 1126"", ""ENVS 1127"", """", ""BIOL 1201"", ""BIOL 1208"", ""CHEM 1201"", ""MATH 1550""], ""Semester 2"": [""ENGL 1001"", ""BIOL 1202"", ""BIOL 1209"", ""CHEM 1202"", ""CHEM 1212"", ""Arts""], ""Semester 3"": [""ENGL 2000"", ""CHEM 2261"", ""OCS 2007"", ""OCS 1064"", ""EXST 2201""], ""Semester 4"": [""OCS 2050"", ""BIOL 2051"", ""OCS 2005"", ""OCS 2006""], ""Semester 5"": [""OCS 3103"", ""PHYS 2001"", ""PHYS 2108"", ""Approved Electives (3)""], ""Semester 6"": [""OCS 2020"", ""ENVS 3102"", ""PHYS 2002"", ""PHYS 2109"", ""Humanities"", ""Approved Electives (2)""], ""Semester 7"": [""ENVS 4149"", ""Humanities"", ""Social"", ""Approved Delta Electives (3)*"", ""Approved Coastal Environmental Science Electives (3)""], ""Semester 8"": [""Humanities"", ""Approved Delta Electives (6)*"", ""Approved Coastal Environmental Science Electives (4)""]}",120,
357,Environmental,Environmental Toxicology Minor,Minor,,"The minor in Environmental Toxicology provides students with a background in the basic science of chemical, physical, and environmental hazards immediately relevant to problems facing modern society and human health risks. Students majoring in diverse fields of study will gain an understanding of the field of Environmental Toxicology. Students majoring in Coastal Environmental Sciences may not choose Environmental Toxicology as a minor.    To graduate with a minor in Environmental Toxicology, students must complete 12 hours of coursework as follows: Required Courses (12 hours): ENVS 4101 Environmental Chemistry (3)      ENVS 4477 Environmental Toxicology: Introduction and Applications (3)         and two courses from the following list: ENVS 4007   ,  ENVS 4010   ,  ENVS 4035    (or  ENVS 4036   ),  ENVS 4045   ,  ENVS 4102   ,  ENVS 4500    and  ENVS 4113   .   All ENVS courses must be passed with a “C” or better. A residency requirement of 9 hours of credit must be earned at this University to receive a minor in Environmental Toxicology.",120,
358,Environmental,Environmental Sciences Minor,Minor,,"The minor in environmental sciences provides students with a background in fields of science immediately relevant to problems facing modern society. Students majoring in diverse fields of study will gain an understanding of the broad field of environmental sciences. To graduate with a  minor in environmental sciences , students must complete 15 hours of coursework as follows: Required core courses (12 hrs):  ENVS 1126    (or  ENVS 1127   ), and one course from each priority area A, B, and C. Students must also select one additional ENVS course (three hrs.) from the above listing, or  ENVS 3999   , or any 2000-level or higher courses approved by the department. It should be noted that students may be eligible for undergraduate minors in both  chemistry  and  biological sciences  depending upon the courses selected. See the College of Science curriculum notes for specific requirements regarding minors in these programs.",120,
359,ACES,"Coastal Environmental Science, B.S. CES.",Major,Applied Coastal Environmental Science,"{""Semester 1"": [""BIOL 1201"", ""BIOL 1208"", ""CHEM 1201"", ""MATH 1550"", """", ""ENVS 1126"", ""ENVS 1127"", """", ""ENVS 1010"", ""OCS 1010""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", ""CHEM 1202"", ""CHEM 1212"", ""ENGL 1001"", ""Arts""], ""Semester 3"": [""CHEM 2261"", ""ENGL 2000"", ""OCS 2007"", ""EXST 2201"", ""Approved Electives (2)""], ""Semester 4"": [""CHEM 2001"", ""CHEM 2002"", ""OCS 2011"", ""OCS 2008"", """", ""BIOL 2051"", ""BIOL 2153"", ""GEOG 2200"", ""OCS 2050"", ""RNR 2101"", """", ""Social""], ""Semester 5"": [""PHYS 2001"", ""PHYS 2108"", ""OCS 2020"", ""EXST 3201"", ""OCS 3103"", ""Approved Coastal Environmental Science Elective (3)[1]""], ""Semester 6"": [""PHYS 2002"", ""PHYS 2109"", ""ENVS 3102"", ""Humanities"", ""Approved Electives (4)""], ""Semester 7"": [""Approved Coastal Environmental Science Electives (6)[1]"", ""Social"", ""Humanities""], ""Semester 8"": [""Approved Coastal Environmental Science Electives (6)[1]"", ""Approved Electives (3-2)"", ""Humanities""]}",120,
360,ESR,"Coastal Environmental Science, B.S. CES.",Major,Environmental Science and Research,"{""Semester 1"": [""BIOL 1201"", ""BIOL 1208"", ""CHEM 1201"", ""MATH 1550"", """", ""ENVS 1126"", ""ENVS 1127"", """", ""ENVS 1010"", ""OCS 1010""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", ""CHEM 1202"", ""CHEM 1212"", ""ENGL 1001"", ""Arts""], ""Semester 3"": [""CHEM 2261"", ""ENGL 2000"", ""OCS 2007"", ""MATH 1552"", ""Approved Electives (2)""], ""Semester 4"": [""CHEM 2262"", """", ""BIOL 2051"", ""BIOL 2153"", """", ""EXST 2201"", ""MATH 2057"", """", ""OCS 2008"", ""Social""], ""Semester 5"": [""CHEM 2364"", """", ""MATH 2065"", ""ENVS 3102"", """", ""OCS 2020"", ""PHYS 2110"", ""PHYS 2108"", ""Social""], ""Semester 6"": [""ENVS 3999"", ""OCS 3999"", """", ""Humanities"", ""Approved CES Electives (3)""], ""Semester 7"": [""Approved Coastal Environmental Science Electives (9)[1]"", ""Approved Elective (3)"", ""Humanities""], ""Semester 8"": [""Approved Electives (4-3)"", ""Approved Coastal Environmental Science Electives (6)[1]"", ""Humanities""]}",120,
361,HRM,"Management, BS",Major,Human Resource Management,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ACCT 2101"", ""ECON 2010"", ""ISDS 2000"", ""Arts"", ""Humanities""], ""Semester 4"": [""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[2]"", ""Natural"", ""MGT 3200""], ""Semester 5"": [""ECON 2035"", ""FIN 3716"", ""ISDS 3115"", ""MGT 3320"", ""MKT 3401""], ""Semester 6"": [""BLAW 3201"", ""MGT 3513"", ""Human Resource Management Concentration Course (3)[4]"", ""MGT 3620"", ""Elective (3)""], ""Semester 7"": [""Human Resource Management Concentration Course (3)"", ""Humanities"", ""International Management Concentration Course (3)[4]"", ""Business Elective (3000/4000-level) (6)[4]""], ""Semester 8"": [""MGT 3830"", ""Human Resource Management Course (3)"", ""Strategic Leadership Concentration Course (3)[4]"", ""Elective (6)[4]""]}",120,
